iter	Passed	Remaining
727	17250	6445
728	17272	6420
729	17294	6396
730	17317	6372
731	17338	6348
732	17360	6323
733	17379	6298
734	17402	6274
735	17425	6250
736	17448	6226
737	17474	6203
738	17496	6179
739	17520	6155
740	17545	6132
741	17570	6109
742	17593	6085
743	17617	6061
744	17639	6037
745	17662	6013
746	17685	5989
747	17714	5968
748	17740	5945
749	17765	5921
750	17788	5897
751	17809	5873
752	17833	5849
753	17855	5825
754	17876	5800
755	17899	5777
756	17923	5753
757	17945	5729
758	17967	5705
759	17989	5680
760	18010	5656
761	18033	5632
762	18055	5608
763	18079	5584
764	18116	5565
765	18149	5544
766	18176	5521
767	18203	5498
768	18227	5475
769	18249	5451
770	18271	5427
771	18295	5403
772	18319	5379
773	18341	5355
774	18364	5331
775	18384	5306
776	18406	5282
777	18428	5258
778	18451	5234
779	18473	5210
780	18497	5186
781	18519	5162
782	18543	5139
783	18565	5114
784	18587	5090
785	18609	5066
786	18631	5042
787	18653	5018
788	18674	4994
789	18699	4970
790	18722	4946
791	18743	4922
792	18766	4898
793	18786	4874
794	18808	4850
795	18829	4825
796	18853	4801
797	18875	4778
798	18898	4754
799	18921	4730
800	18942	4706
801	18963	4681
802	18985	4657
803	19004	4633
804	19029	4609
805	19054	4586
806	19078	4562
807	19101	4538
808	19123	4515
809	19143	4490
810	19163	4466
811	19186	4442
812	19208	4418
813	19228	4393
814	19250	4369
815	19271	4345
816	19292	4321
817	19315	4297
818	19337	4273
819	19359	4249
820	19383	4226
821	19408	4202
822	19428	4178
823	19449	4154
824	19471	4130
825	19494	4106
826	19514	4082
827	19536	4058
828	19559	4034
829	19582	4010
830	19604	3986
831	19627	3963
832	19649	3939
833	19669	3915
834	19691	3891
835	19714	3867
836	19735	3843
837	19759	3819
838	19781	3796
839	19801	3771
840	19824	3748
841	19845	3724
842	19867	3700
843	19889	3676
844	19911	3652
845	19934	3628
846	19958	3605
847	19978	3581
848	19998	3556
849	20018	3532
850	20040	3508
851	20064	3485
852	20088	3461
853	20109	3437
854	20131	3414
855	20155	3390
856	20177	3366
857	20200	3343
858	20222	3319
859	20244	3295
860	20268	3272
861	20288	3248
862	20310	3224
863	20332	3200
864	20352	3176
865	20373	3152
866	20397	3128
867	20418	3105
868	20437	3080
869	20459	3057
870	20481	3033
871	20503	3009
872	20527	2986
873	20548	2962
874	20572	2938
875	20594	2915
876	20616	2891
877	20637	2867
878	20661	2844
879	20684	2820
880	20706	2796
881	20730	2773
882	20751	2749
883	20772	2725
884	20797	2702
885	20822	2679
886	20850	2656
887	20874	2632
888	20898	2609
889	20919	2585
890	20940	2561
891	20961	2537
892	20983	2514
893	21006	2490
894	21028	2467
895	21051	2443
896	21073	2419
897	21095	2396
898	21116	2372
899	21136	2348
900	21154	2324
901	21174	2300
902	21199	2277
903	21222	2253
904	21245	2230
905	21263	2206
906	21287	2182
907	21305	2158
908	21328	2135
909	21351	2111
910	21374	2088
911	21396	2064
912	21418	2040
913	21439	2017
914	21463	1993
915	21485	1970
916	21503	1946
917	21521	1922
918	21545	1899
919	21565	1875
920	21590	1851
921	21611	1828
922	21632	1804
923	21655	1781
924	21675	1757
925	21697	1733
926	21722	1710
927	21746	1687
928	21768	1663
929	21790	1640
930	21814	1616
931	21836	1593
932	21858	1569
933	21886	1546
934	21911	1523
935	21935	1499
936	21960	1476
937	21983	1453
938	22005	1429
939	22028	1406
940	22051	1382
941	22073	1359
942	22095	1335
943	22116	1312
944	22138	1288
945	22158	1264
946	22179	1241
947	22201	1217
948	22223	1194
949	22243	1170
950	22267	1147
951	22292	1123
952	22312	1100
953	22332	1076
954	22351	1053
955	22370	1029
956	22388	1005
957	22410	982
958	22434	959
959	22457	935
960	22478	912
961	22499	888
962	22520	865
963	22541	841
964	22563	818
965	22584	794
966	22604	771
967	22625	747
968	22645	724
969	22665	700
970	22686	677
971	22706	654
972	22726	630
973	22747	607
974	22768	583
975	22788	560
976	22809	536
977	22829	513
978	22850	490
979	22872	466
980	22895	443
981	22916	420
982	22937	396
983	22959	373
984	22981	349
985	23001	326
986	23022	303
987	23043	279
988	23063	256
989	23083	233
990	23104	209
991	23125	186
992	23146	163
993	23166	139
994	23186	116
995	23206	93
996	23227	69
997	23246	46
998	23267	23
999	23287	0
